MB	Food No.	Food Name	Anal Type	Sample Qualifier	Replicate No.	Element	Conc	Unit	Trace	LOD	LOQ	Result Qualifier and Remarks	Method	Instrument	Batch ID
200301	223	"BF, peas"	O			Zinc	5.42	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	225	"BF, applesauce"	O			Arsenic	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	311
200301	225	"BF, applesauce"	O			Cadmium	0	mg/kg		0.002	0.005		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	225	"BF, applesauce"	O			Calcium	50.4	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	225	"BF, applesauce"	O			Copper	0.334	mg/kg	TR	0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	225	"BF, applesauce"	O			Iron	0.752	mg/kg	TR	0.7	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	225	"BF, applesauce"	O			Lead	0	mg/kg		0.007	0.03		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	225	"BF, applesauce"	O			Magnesium	40	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	225	"BF, applesauce"	O			Manganese	0.3	mg/kg	TR	0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	225	"BF, applesauce"	O			Nickel	0	mg/kg		0.02	0.05		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	225	"BF, applesauce"	O			Phosphorus	65	mg/kg		10	40		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	225	"BF, applesauce"	O			Potassium	859	mg/kg		8	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	225	"BF, applesauce"	O			Selenium	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	311
200301	225	"BF, applesauce"	O			Sodium	12.7	mg/kg	TR	7	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	225	"BF, applesauce"	O			Zinc	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	226	"BF, peaches"	O			Arsenic	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	311
200301	226	"BF, peaches"	O			Cadmium	0.003	mg/kg	TR	0.002	0.005		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	226	"BF, peaches"	O	RAP	1	Calcium	62.5	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	226	"BF, peaches"	O	RAP	1	Copper	0.494	mg/kg	TR	0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	226	"BF, peaches"	O	RAP	1	Iron	1.68	mg/kg	TR	0.7	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	226	"BF, peaches"	O			Lead	0	mg/kg		0.007	0.03		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	226	"BF, peaches"	O	RAP	1	Magnesium	75	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	226	"BF, peaches"	O	RAP	1	Manganese	0.55	mg/kg	TR	0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	226	"BF, peaches"	O			Nickel	0.167	mg/kg		0.02	0.05		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	226	"BF, peaches"	O	RAP	1	Phosphorus	72	mg/kg		10	40		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	226	"BF, peaches"	O	RAP	1	Potassium	1950	mg/kg		8	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	226	"BF, peaches"	O			Selenium	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	311
200301	226	"BF, peaches"	O	RAP	1	Sodium	40.3	mg/kg		7	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	226	"BF, peaches"	O	RAP	1	Zinc	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	227	"BF, pears"	O			Arsenic	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	311
200301	227	"BF, pears"	O			Cadmium	0.002	mg/kg	TR	0.002	0.005		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	227	"BF, pears"	O			Calcium	98.2	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	227	"BF, pears"	O			Copper	0.854	mg/kg	TR	0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	227	"BF, pears"	O			Iron	1.4	mg/kg	TR	0.7	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	227	"BF, pears"	O			Lead	0	mg/kg		0.007	0.03		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	227	"BF, pears"	O			Magnesium	78.3	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	227	"BF, pears"	O			Manganese	0.436	mg/kg	TR	0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	227	"BF, pears"	O			Mercury	0	mg/kg		0.01	0.04		KCM TD M4 & E6 (CVAAS; Hg; Food)	CVAAS	301
200301	227	"BF, pears"	O			Nickel	0.138	mg/kg		0.02	0.05		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	227	"BF, pears"	O			Phosphorus	126	mg/kg		10	40		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	227	"BF, pears"	O			Potassium	1310	mg/kg		8	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	227	"BF, pears"	O			Selenium	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	311
200301	227	"BF, pears"	O			Sodium	21.1	mg/kg	TR	7	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	227	"BF, pears"	O			Zinc	1.02	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	230	"BF, juice, apple"	O			Arsenic	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	311
200301	230	"BF, juice, apple"	O			Cadmium	0.001	mg/kg	TR	0.001	0.003		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	230	"BF, juice, apple"	O			Calcium	63.7	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	230	"BF, juice, apple"	O			Copper	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	230	"BF, juice, apple"	O			Iron	0	mg/kg		0.7	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	230	"BF, juice, apple"	O			Lead	0	mg/kg		0.004	0.02		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	230	"BF, juice, apple"	O			Magnesium	50	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	230	"BF, juice, apple"	O			Manganese	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	230	"BF, juice, apple"	O			Mercury	0	mg/kg		0.01	0.04		KCM TD M4 & E6 (CVAAS; Hg; Food)	CVAAS	301
200301	230	"BF, juice, apple"	O			Nickel	0.018	mg/kg	TR	0.01	0.03		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	230	"BF, juice, apple"	O			Phosphorus	59.3	mg/kg		10	40		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	230	"BF, juice, apple"	O			Potassium	1040	mg/kg		8	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	230	"BF, juice, apple"	O			Selenium	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	311
200301	230	"BF, juice, apple"	O			Sodium	26.8	mg/kg	TR	7	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	230	"BF, juice, apple"	O			Zinc	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	231	"BF, juice, orange"	O			Arsenic	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	311
200301	231	"BF, juice, orange"	O			Cadmium	0.002	mg/kg	TR	0.001	0.003		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	231	"BF, juice, orange"	O	RAP	1	Calcium	176	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	231	"BF, juice, orange"	O	RAP	1	Copper	0.443	mg/kg	TR	0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	231	"BF, juice, orange"	O	RAP	1	Iron	1.47	mg/kg	TR	0.7	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	231	"BF, juice, orange"	O			Lead	0	mg/kg		0.004	0.02		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	231	"BF, juice, orange"	O	RAP	1	Magnesium	117	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	231	"BF, juice, orange"	O	RAP	1	Manganese	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	231	"BF, juice, orange"	O			Nickel	0.026	mg/kg	TR	0.01	0.03		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	231	"BF, juice, orange"	O	RAP	1	Phosphorus	178	mg/kg		10	40		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	231	"BF, juice, orange"	O	RAP	1	Potassium	1960	mg/kg		8	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	231	"BF, juice, orange"	O			Selenium	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	311
200301	231	"BF, juice, orange"	O	RAP	1	Sodium	37.4	mg/kg		7	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	231	"BF, juice, orange"	O	RAP	1	Zinc	0.421	mg/kg	TR	0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	232	"BF, custard/pudding"	O			Arsenic	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	311
200301	232	"BF, custard/pudding"	O			Cadmium	0	mg/kg		0.002	0.005		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	232	"BF, custard/pudding"	O			Calcium	519	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	232	"BF, custard/pudding"	O			Copper	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	232	"BF, custard/pudding"	O			Iron	1.73	mg/kg	TR	0.7	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	232	"BF, custard/pudding"	O			Lead	0	mg/kg		0.007	0.03		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	232	"BF, custard/pudding"	O			Magnesium	56.5	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	232	"BF, custard/pudding"	O			Manganese	0.39	mg/kg	TR	0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	232	"BF, custard/pudding"	O			Nickel	0.03	mg/kg	TR	0.02	0.05		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	232	"BF, custard/pudding"	O			Phosphorus	575	mg/kg		10	40		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	232	"BF, custard/pudding"	O			Potassium	612	mg/kg		8	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	232	"BF, custard/pudding"	O			Selenium	0.02	mg/kg	TR	0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	311
200301	232	"BF, custard/pudding"	O			Sodium	225	mg/kg		7	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	232	"BF, custard/pudding"	O			Zinc	3.11	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	233	"BF, fruit dessert/pudding"	O			Arsenic	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	311
200301	233	"BF, fruit dessert/pudding"	O			Cadmium	0	mg/kg		0.002	0.005		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	233	"BF, fruit dessert/pudding"	O	RAP	1	Calcium	65.9	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	233	"BF, fruit dessert/pudding"	O	RAP	1	Copper	0.629	mg/kg	TR	0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	233	"BF, fruit dessert/pudding"	O	RAP	1	Iron	1.55	mg/kg	TR	0.7	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	233	"BF, fruit dessert/pudding"	O			Lead	0	mg/kg		0.007	0.03		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	233	"BF, fruit dessert/pudding"	O	RAP	1	Magnesium	135	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	233	"BF, fruit dessert/pudding"	O	RAP	1	Manganese	2.75	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	233	"BF, fruit dessert/pudding"	O			Nickel	0.1	mg/kg		0.02	0.05		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	311
200301	233	"BF, fruit dessert/pudding"	O	RAP	2	Phosphorus	167	mg/kg		10	40		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301266
200301	233	"BF, fruit dessert/pudding"	O	RAP	1	Potassium	1820	mg/kg		8	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	233	"BF, fruit dessert/pudding"	O			Selenium	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	311
200301	233	"BF, fruit dessert/pudding"	O	RAP	1	Sodium	38.9	mg/kg		7	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	233	"BF, fruit dessert/pudding"	O	RAP	1	Zinc	0.619	mg/kg	TR	0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301348
200301	235	"Yogurt, lowfat, fruit-flavored"	O			Arsenic	0	mg/kg		0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	313
200301	235	"Yogurt, lowfat, fruit-flavored"	O			Cadmium	0	mg/kg		0.002	0.005		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	317
200301	235	"Yogurt, lowfat, fruit-flavored"	O			Calcium	1390	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	235	"Yogurt, lowfat, fruit-flavored"	O			Copper	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	235	"Yogurt, lowfat, fruit-flavored"	O			Iron	0	mg/kg		0.7	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	235	"Yogurt, lowfat, fruit-flavored"	O			Lead	0	mg/kg		0.007	0.03		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	317
200301	235	"Yogurt, lowfat, fruit-flavored"	O			Magnesium	139	mg/kg		3	10		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	235	"Yogurt, lowfat, fruit-flavored"	O			Manganese	0	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	235	"Yogurt, lowfat, fruit-flavored"	O			Nickel	0.023	mg/kg	TR	0.02	0.05		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	317
200301	235	"Yogurt, lowfat, fruit-flavored"	O			Phosphorus	1090	mg/kg		10	40		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	235	"Yogurt, lowfat, fruit-flavored"	O			Potassium	2060	mg/kg		8	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	235	"Yogurt, lowfat, fruit-flavored"	O			Selenium	0.039	mg/kg	TR	0.01	0.04		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	313
200301	235	"Yogurt, lowfat, fruit-flavored"	O			Sodium	573	mg/kg		7	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	235	"Yogurt, lowfat, fruit-flavored"	O			Zinc	4.97	mg/kg		0.3	0.9		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	236	"Cheese, Swiss, natural"	O			Arsenic	0	mg/kg		0.02	0.05		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	313
200301	236	"Cheese, Swiss, natural"	O			Cadmium	0	mg/kg		0.002	0.007		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	317
200301	236	"Cheese, Swiss, natural"	O	RAP	1	Calcium	8160	mg/kg		4	20		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	236	"Cheese, Swiss, natural"	O	RAP	1	Copper	0	mg/kg		0.4	1.2		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	236	"Cheese, Swiss, natural"	O	RAP	1	Iron	1.48	mg/kg	TR	0.9	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	236	"Cheese, Swiss, natural"	O			Lead	0	mg/kg		0.01	0.04		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	317
200301	236	"Cheese, Swiss, natural"	O	RAP	1	Magnesium	345	mg/kg		4	20		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	236	"Cheese, Swiss, natural"	O	RAP	1	Manganese	0	mg/kg		0.4	2		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	236	"Cheese, Swiss, natural"	O			Nickel	0	mg/kg		0.03	0.08		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	317
200301	236	"Cheese, Swiss, natural"	O	RAP	1	Phosphorus	5400	mg/kg		20	50		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	236	"Cheese, Swiss, natural"	O	RAP	1	Potassium	1020	mg/kg		10	40		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	236	"Cheese, Swiss, natural"	O			Selenium	0.147	mg/kg		0.02	0.05		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	313
200301	236	"Cheese, Swiss, natural"	O	RAP	1	Sodium	2180	mg/kg		9	30		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	236	"Cheese, Swiss, natural"	O	RAP	1	Zinc	43	mg/kg		0.4	2		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	237	Cream cheese	O			Arsenic	0	mg/kg		0.02	0.05		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	313
200301	237	Cream cheese	O			Cadmium	0	mg/kg		0.002	0.007		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	317
200301	237	Cream cheese	O			Calcium	905	mg/kg		4	20		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	237	Cream cheese	O			Copper	0	mg/kg		0.4	1.2		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	237	Cream cheese	O			Iron	0	mg/kg		0.9	3		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	237	Cream cheese	O			Lead	0	mg/kg		0.01	0.04		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	317
200301	237	Cream cheese	O			Magnesium	92.3	mg/kg		4	20		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	237	Cream cheese	O			Manganese	0	mg/kg		0.4	2		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	237	Cream cheese	O			Nickel	0.032	mg/kg	TR	0.03	0.08		"KCM TD M5 & E2 (GFAAS; Cd, Ni & Pb; Food)"	GFAAS	317
200301	237	Cream cheese	O			Phosphorus	987	mg/kg		20	50		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	237	Cream cheese	O			Potassium	1480	mg/kg		10	40		"KCM TD M2 & E1 (ICPAES; Ca, Cu, Fe, Mg, Mn, P, K, Na, Zn; Food)"	ICPAES	200301126
200301	237	Cream cheese	O			Selenium	0.072	mg/kg		0.02	0.05		KCM TD M2 & E5 (HGAAS; As & Se; Food)	HGAAS	313
